id;first_name;last_name;email;phone_number;user_id
1;Filiberto;Upton;Ward.Jones43@gmail.com;;1
2;Rafael;Goodwin;Idella84@gmail.com;;1
3;Jakob;Murray;Benton67@gmail.com;"1 - 513  464   -    6810   x24";2
4;Addie;Pagac;Annabelle.Gislason80@hotmail.com;"818   610  .    5363";2
5;Jessie;Cormier;Tania_Hilpert98@gmail.com;;1
6;Jackie;Balistreri;April_Muller@gmail.com;"755    -    9580x.  28";2
7;Jacklyn;Erdman;Reuben34@yahoo.com;"+1     641-     313    4362";2
8;Krystal;Daniel;Annamae_Purdy@yahoo.com;"+1. 419 .   531     -     2417";2
9;Rafael;Cummerata;Obie.Kihn6@gmail.com;"541-   289 6313";2
10;Joelle;Gerlach;Nickolas.Morissette39@gmail.com;"656    -  1095";1
